time_s,V_exp,FDM,FVM-S0,FVM-S1,FVM-S2
3195,4.0892915725708,4.09355319413219,4.09355323696081,4.09355200920216,4.09355244376779
3196,4.08917045593262,4.09355322602333,4.09355326856485,4.09355204367911,4.09355247722784
3197,4.08914947509766,4.09355325783943,4.09355330009494,4.09355207807539,4.0935525106096
3198,4.0890941619873,4.09355328958069,4.09355333155126,4.09355211239117,4.09355254391325
3199,4.08921670913696,4.09355332124727,4.09355336293398,4.09355214662666,4.09355257713896
3200,4.08920431137085,4.09355335283935,4.09355339424326,4.09355218078203,4.09355261028693
3201,4.08920192718506,4.09355338435711,4.09355342547929,4.09355221485748,4.09355264335733
3202,4.08927822113037,4.09355341580072,4.09355345664223,4.09355224885318,4.09355267635035
3203,4.08917570114136,4.09355344717035,4.09355348773226,4.09355228276934,4.09355270926617
3204,4.08912086486816,4.09355347846619,4.09355351874954,4.09355231660613,4.09355274210496
3205,4.08917903900146,4.0935535096884,4.09355354969425,4.09355235036374,4.09355277486691
3206,4.08917379379272,4.09355354083715,4.09355358056655,4.09355238404236,4.09355280755221
3207,4.08912706375122,4.09355357191263,4.09355361136662,4.09355241764217,4.09355284016102
3208,4.08920431137085,4.093553602915,4.09355364209462,4.09355245116335,4.09355287269353
3209,4.089280128479,4.09355363384443,4.09355367275073,4.09355248460609,4.09355290514991
3210,4.08928632736206,4.0935536647011,4.09355370333511,4.09355251797058,4.09355293753035
3211,4.08921575546265,4.09355369548518,4.09355373384794,4.093552551257,4.09355296983502
3212,4.08913040161133,4.09355372619684,4.09355376428936,4.09355258446552,4.0935530020641
3213,4.0891809463501,4.09355375683624,4.09355379465957,4.09355261759634,4.09355303421777
3214,4.08917999267578,4.09355378740357,4.09355382495871,4.09355265064964,4.09355306629621
3215,4.08918952941895,4.09355381789899,4.09355385518697,4.09355268362559,4.09355309829958
3216,4.08914279937744,4.09355384832267,4.0935538853445,4.09355271652437,4.09355313022807
3217,4.08914518356323,4.09355387867477,4.09355391543146,4.09355274934618,4.09355316208186
3218,4.08915424346924,4.09355390895547,4.09355394544804,4.09355278209118,4.0935531938611
3219,4.08914184570312,4.09355393916494,4.09355397539438,4.09355281475957,4.09355322556599
3220,4.08906888961792,4.09355396930333,4.09355400527066,4.09355284735151,4.0935532571967
3221,4.08920192718506,4.09355399937083,4.09355403507704,4.09355287986719,4.09355328875339
3222,4.08915567398071,4.0935540293676,4.09355406481368,4.09355291230678,4.09355332023625
3223,4.08916091918945,4.09355405929379,4.09355409448075,4.09355294467047,4.09355335164544
3224,4.08920288085938,4.09355408914959,4.0935541240784,4.09355297695843,4.09355338298114
3225,4.08924865722656,4.09355411893516,4.09355415360681,4.09355300917084,4.09355341424352
3226,4.08913469314575,4.09355414865065,4.09355418306613,4.09355304130788,4.09355344543275
3227,4.08905076980591,4.09355417829624,4.09355421245652,4.09355307336972,4.09355347654901
3228,4.08917999267578,4.09355420787209,4.09355424177815,4.09355310535654,4.09355350759246
3229,4.08919382095337,4.09355423737836,4.09355427103119,4.09355313726851,4.09355353856328
3230,4.08914089202881,4.09355426681523,4.09355430021578,4.09355316910581,4.09355356946163
3231,4.0892767906189,4.09355429618284,4.09355432933209,4.09355320086862,4.09355360028768
3232,4.0891637802124,4.09355432548137,4.09355435838027,4.09355323255711,4.09355363104161
3233,4.08908987045288,4.09355435471099,4.0935543873605,4.09355326417145,4.09355366172358
3234,4.0891489982605,4.09355438387183,4.09355441627292,4.09355329571182,4.09355369233377
3235,4.08924961090088,4.09355441296408,4.0935544451177,4.09355332717839,4.09355372287233
3236,4.08919143676758,4.0935544419879,4.093554473895,4.09355335857134,4.09355375333944
3237,4.08919239044189,4.09355447094344,4.09355450260496,4.09355338989083,4.09355378373526
3238,4.08917474746704,4.09355449983086,4.09355453124776,4.09355342113704,4.09355381405997
3239,4.08907842636108,4.09355452865033,4.09355455982355,4.09355345231014,4.09355384431373
3240,4.08917140960693,4.09355455740201,4.09355458833248,4.0935534834103,4.0935538744967
3241,4.0890679359436,4.09355458608605,4.09355461677471,4.09355351443769,4.09355390460905
3242,4.08923578262329,4.09355461470262,4.0935546451504,4.09355354539249,4.09355393465095
3243,4.08920812606812,4.09355464325187,4.0935546734597,4.09355357627486,4.09355396462255
3244,4.08911037445068,4.09355467173396,4.09355470170278,4.09355360708496,4.09355399452404
3245,4.08918714523315,4.09355470014906,4.09355472987977,4.09355363782298,4.09355402435556
3246,4.08926200866699,4.09355472849731,4.09355475799085,4.09355366848909,4.09355405411729
3247,4.08918809890747,4.09355475677888,4.09355478603616,4.09355369908344,4.09355408380938
